crop_type,soil_ph,nitrogen,phosphorus,potassium,moisture_pct,recommended_fertilizer
maize,5.62,101.6,54.0,55.2,60.0,NPK
maize,5.71,90.6,14.0,21.8,70.1,MOP
cotton,5.64,107.3,5.0,68.8,31.2,DAP
cotton,6.57,110.5,43.1,77.0,50.9,NPK
cotton,7.06,51.1,39.3,65.2,59.2,Urea
sugarcane,5.66,100.6,66.5,16.8,35.8,MOP
cotton,7.29,109.1,5.0,13.2,47.8,Compost
wheat,7.1,150.0,54.9,33.2,51.0,NPK
cotton,5.75,113.6,47.0,68.1,35.2,NPK
wheat,6.78,50.6,5.0,58.4,58.6,DAP
sugarcane,7.96,102.9,20.8,78.2,45.1,DAP
sugarcane,7.38,136.1,18.9,52.2,76.0,DAP
wheat,5.36,120.6,53.7,63.6,53.3,Compost
maize,5.61,10.0,49.0,105.3,45.3,Urea
wheat,5.35,121.2,66.0,80.5,51.0,Compost
rice,6.14,131.2,47.5,46.6,30.8,NPK
sugarcane,6.7,130.2,34.4,16.7,79.8,MOP
rice,6.66,184.9,44.6,22.1,60.0,MOP
cotton,6.48,75.6,27.0,57.6,41.9,MOP
rice,5.85,43.4,17.6,34.6,95.0,NPK
sugarcane,6.04,93.1,22.7,8.0,16.7,Compost
sugarcane,6.72,97.1,51.7,32.3,27.4,NPK
cotton,5.96,71.0,23.4,68.0,66.5,DAP
maize,5.0,175.7,93.1,56.5,68.0,Compost
sugarcane,6.08,130.5,57.1,84.9,30.8,NPK
cotton,7.26,106.8,53.3,8.0,82.6,DAP
cotton,5.54,96.8,18.9,12.8,45.4,Compost
sugarcane,6.33,37.9,42.7,31.5,54.3,NPK
wheat,7.71,94.0,40.6,55.7,27.1,NPK
wheat,6.56,58.9,45.4,85.8,64.1,NPK
maize,5.99,82.4,44.6,46.2,15.0,Compost
sugarcane,6.41,70.9,75.9,55.1,60.6,NPK
maize,7.18,10.0,64.7,32.7,24.0,Compost
maize,6.04,10.0,17.8,41.7,15.0,Compost
rice,5.42,14.4,42.2,40.2,64.1,Compost
cotton,5.9,112.6,39.6,63.3,25.4,NPK
sugarcane,6.38,141.3,12.7,8.0,56.3,MOP
cotton,6.87,10.0,45.1,8.0,65.9,NPK
sugarcane,6.98,148.8,90.6,21.1,52.2,MOP
wheat,7.35,90.0,56.5,28.1,54.4,MOP
maize,6.33,176.7,56.7,42.2,52.5,NPK
cotton,6.49,72.3,23.4,46.0,54.5,MOP
sugarcane,6.92,143.1,13.2,43.0,62.9,DAP
sugarcane,7.09,85.4,20.3,70.6,43.8,DAP
sugarcane,6.69,114.9,66.5,25.8,58.8,MOP
wheat,6.96,125.4,37.8,51.8,64.2,NPK
sugarcane,5.96,130.4,23.7,63.3,57.3,DAP
maize,5.59,46.2,47.7,50.8,63.6,Compost
wheat,6.69,53.2,69.5,64.4,51.7,Urea
cotton,5.74,85.7,74.4,45.1,58.3,NPK
maize,5.72,71.7,75.1,100.2,55.6,NPK
sugarcane,6.81,100.5,17.7,89.2,30.7,DAP
maize,5.89,115.3,53.7,40.5,29.6,NPK
wheat,6.49,88.5,44.4,11.1,55.2,MOP
sugarcane,4.89,10.0,19.0,69.1,40.6,Compost
maize,7.03,54.2,28.1,58.8,79.5,NPK
cotton,6.58,115.3,40.1,57.2,81.2,NPK
rice,6.16,128.7,19.3,32.2,22.5,Compost
sugarcane,7.22,96.1,42.4,52.0,70.6,NPK
wheat,7.34,57.5,35.1,21.7,52.1,MOP
cotton,5.64,151.4,51.9,8.0,76.6,MOP
wheat,5.2,31.0,24.4,69.6,24.7,Compost
rice,5.61,137.2,56.9,44.5,18.4,Compost
wheat,5.25,145.7,13.5,62.6,15.0,Compost
rice,6.88,146.4,57.7,11.0,48.7,MOP
rice,5.6,71.7,57.3,57.8,55.2,Compost
sugarcane,6.91,104.9,23.4,16.5,39.2,MOP
maize,6.98,49.6,5.0,51.9,72.1,DAP
cotton,7.64,81.7,27.1,50.8,77.9,NPK
maize,5.86,70.7,86.9,44.1,81.8,NPK
sugarcane,7.43,115.9,5.0,51.9,78.9,DAP
maize,6.71,167.0,18.0,68.1,58.9,DAP
maize,6.95,64.4,39.9,34.5,38.8,NPK
cotton,6.41,10.0,73.5,11.8,54.7,NPK
sugarcane,5.98,39.7,5.0,8.0,35.7,NPK
wheat,7.33,170.8,91.9,29.0,42.2,MOP
maize,6.54,100.5,87.5,55.5,39.5,NPK
rice,6.87,87.3,25.1,30.6,61.8,NPK
maize,7.08,31.5,20.2,62.1,80.6,DAP
wheat,5.63,116.5,31.3,44.6,48.9,NPK
sugarcane,5.46,92.3,15.5,73.9,32.3,Compost
rice,6.6,133.2,19.2,44.7,88.8,DAP
wheat,6.01,60.0,29.6,70.7,58.9,NPK
maize,6.83,63.5,32.6,42.9,42.1,NPK
rice,6.68,153.2,21.6,21.8,31.3,MOP
rice,5.81,123.0,32.5,80.6,56.4,NPK
rice,6.18,118.2,71.8,8.0,61.1,DAP
rice,7.71,10.0,17.9,57.8,64.0,DAP
wheat,7.1,145.1,11.0,47.7,69.5,DAP
wheat,6.6,88.7,49.4,104.6,66.9,NPK
rice,6.65,16.1,5.0,44.0,45.6,DAP
rice,6.94,46.9,32.5,23.1,40.6,NPK
maize,6.79,84.8,47.8,53.6,90.5,NPK
rice,5.6,52.0,58.7,38.9,67.7,Urea
rice,5.3,97.6,32.1,50.8,49.3,Compost
cotton,7.55,95.4,32.8,49.4,74.3,NPK
rice,6.27,98.4,52.4,87.4,56.5,NPK
rice,7.22,141.4,22.6,10.8,59.8,MOP
wheat,7.86,52.1,38.6,19.4,62.6,MOP
sugarcane,5.72,200.0,41.0,47.6,53.3,NPK
rice,5.26,10.0,17.6,53.2,62.5,Compost
cotton,5.8,10.0,5.0,41.9,42.1,MOP
rice,8.17,66.9,49.0,67.0,62.2,Compost
wheat,6.06,163.4,42.2,51.1,65.7,NPK
wheat,7.69,64.1,48.2,54.5,73.0,NPK
sugarcane,6.5,44.9,25.0,8.0,75.9,NPK
cotton,4.83,46.9,48.0,27.1,56.8,Compost
wheat,5.57,82.6,66.4,15.6,67.1,Compost
cotton,7.41,138.8,50.0,8.0,61.5,MOP
maize,7.59,80.1,31.0,99.7,35.6,NPK
wheat,4.87,53.4,44.6,66.4,43.3,Compost
sugarcane,7.28,97.5,17.3,51.8,68.5,DAP
cotton,6.98,88.0,72.3,51.8,44.1,NPK
rice,5.97,77.9,5.0,68.5,61.7,DAP
rice,5.38,70.6,62.8,58.8,39.8,Compost
wheat,5.32,145.8,55.6,70.0,87.2,Compost
cotton,6.29,43.9,69.9,8.0,41.1,NPK
cotton,7.36,31.9,5.0,61.7,27.3,DAP
cotton,5.41,104.6,52.1,60.5,60.7,Compost
wheat,6.95,115.8,71.0,35.9,77.6,NPK
cotton,7.5,120.9,26.6,61.7,33.7,NPK
maize,6.47,126.0,73.6,53.6,47.1,NPK
rice,7.66,82.2,35.5,22.3,25.3,MOP
rice,6.0,158.3,58.6,64.2,38.9,NPK
cotton,5.95,145.0,30.6,54.5,74.0,NPK
maize,5.4,67.9,47.8,53.6,40.7,Compost
maize,7.84,41.0,30.3,71.1,75.5,Urea
maize,7.21,46.4,35.4,49.6,70.6,Urea
maize,6.5,35.7,71.6,91.6,42.4,Urea
maize,7.03,45.5,17.1,53.1,42.5,DAP
rice,6.41,159.8,45.9,61.3,46.1,NPK
maize,6.22,82.0,39.4,56.2,30.8,NPK
sugarcane,5.8,144.9,5.0,18.5,42.0,MOP
wheat,7.04,89.2,7.3,58.2,50.3,DAP
wheat,7.78,161.1,42.5,91.8,49.9,NPK
maize,6.45,108.4,44.2,22.9,48.5,MOP
cotton,6.94,114.3,64.2,77.2,71.7,NPK
maize,5.57,137.3,42.1,50.6,73.5,Compost
wheat,6.05,23.3,48.0,40.0,49.4,Urea
sugarcane,6.83,92.3,59.8,110.0,87.0,Urea
rice,7.01,105.5,29.4,57.9,88.4,NPK
rice,6.18,62.3,34.5,55.7,33.6,NPK
rice,7.78,28.7,27.7,47.6,32.2,NPK
wheat,6.5,10.0,18.0,68.5,42.4,DAP
rice,6.63,98.5,42.7,19.4,24.1,Compost
maize,6.32,70.2,50.6,50.6,36.2,NPK
cotton,7.66,85.1,17.2,61.1,69.3,Urea
wheat,5.18,70.4,27.1,52.6,49.0,Compost
cotton,6.36,79.1,51.1,58.9,52.0,NPK
wheat,6.36,153.1,18.3,81.8,55.5,DAP
maize,6.5,92.1,22.0,55.4,39.6,DAP
wheat,6.05,105.3,29.0,46.8,56.4,NPK
cotton,5.15,74.7,9.0,41.4,44.8,Compost
sugarcane,5.66,12.6,51.2,8.0,51.9,NPK
sugarcane,5.61,164.3,13.0,57.4,26.9,DAP
maize,5.22,85.1,70.9,70.3,76.9,Compost
rice,8.27,11.2,71.7,24.2,68.5,Compost
sugarcane,7.2,110.5,32.9,32.7,88.0,NPK
rice,6.51,135.3,13.7,18.3,66.2,MOP
sugarcane,6.26,50.7,46.0,41.2,40.3,MOP
rice,5.86,66.7,51.1,55.9,28.0,NPK
maize,5.96,97.0,37.6,74.2,75.7,NPK
maize,6.82,101.5,62.9,39.7,95.0,NPK
maize,6.83,65.2,58.4,8.0,75.3,MOP
cotton,7.14,131.3,22.6,54.5,69.3,DAP
cotton,4.6,123.3,10.4,37.9,48.3,Compost
maize,6.21,115.5,31.7,8.0,45.5,MOP
cotton,6.18,149.8,64.3,33.8,52.2,NPK
rice,5.45,128.1,72.4,22.0,15.0,Compost
rice,6.65,60.9,66.9,59.0,55.9,NPK
cotton,6.24,116.9,5.0,44.4,68.1,DAP
sugarcane,7.56,45.5,62.7,31.9,41.3,NPK
wheat,6.29,131.5,25.4,50.4,51.0,NPK
wheat,5.39,122.8,30.3,8.0,53.9,Compost
cotton,5.66,86.6,35.1,8.0,81.7,MOP
rice,5.44,120.1,81.2,51.4,56.5,Compost
sugarcane,6.39,104.5,15.2,22.9,56.8,MOP
wheat,6.5,103.0,13.0,30.1,53.3,NPK
wheat,6.86,88.6,80.3,64.5,43.0,NPK
cotton,6.42,47.4,44.4,43.2,77.0,Urea
rice,6.56,33.9,51.2,62.6,46.9,Urea
sugarcane,6.93,51.6,46.5,39.1,36.1,Urea
wheat,5.72,123.2,54.2,26.6,55.1,MOP
cotton,8.43,22.5,47.8,77.9,56.4,Urea
maize,6.99,105.1,6.1,42.5,34.9,DAP
sugarcane,6.05,167.3,49.9,75.0,52.6,NPK
rice,5.29,39.5,58.7,67.1,17.5,Urea
rice,6.19,128.6,100.0,20.1,46.7,MOP
maize,7.46,25.9,5.0,58.7,62.3,DAP
sugarcane,5.52,111.6,18.7,38.8,58.5,Compost
cotton,6.99,75.1,5.0,69.1,31.6,DAP
sugarcane,7.12,164.7,50.6,8.0,43.5,MOP
cotton,7.6,72.1,38.1,51.5,68.2,NPK
wheat,6.05,54.4,32.5,24.6,71.2,MOP
cotton,6.39,21.6,43.4,58.7,64.5,Urea
maize,7.13,115.8,19.8,53.9,64.4,DAP
wheat,6.56,133.5,26.3,13.3,31.1,MOP
wheat,5.66,136.6,35.5,44.1,55.0,NPK
maize,6.47,131.1,5.0,72.5,28.1,DAP
wheat,6.98,63.1,52.6,41.7,61.6,NPK
rice,6.72,41.0,43.4,48.6,43.6,Urea
cotton,5.87,43.4,62.0,77.1,37.5,Urea
sugarcane,6.2,10.0,50.4,67.5,32.3,Urea
cotton,5.53,78.7,5.0,22.1,49.0,Compost
rice,5.42,12.7,25.2,8.0,45.3,Compost
sugarcane,6.13,100.5,20.7,83.0,41.3,DAP
cotton,6.53,73.9,42.3,67.4,51.9,NPK
wheat,7.62,145.3,61.0,14.5,56.1,MOP
cotton,6.82,140.3,24.0,28.5,43.0,MOP
wheat,7.68,121.2,48.6,67.4,46.5,NPK
cotton,6.18,145.1,53.9,39.2,35.4,NPK
wheat,6.07,127.8,29.2,40.7,66.1,NPK
wheat,7.14,129.2,5.6,28.9,52.3,MOP
rice,6.94,79.0,5.0,82.1,43.4,DAP
cotton,5.33,129.2,31.7,110.0,55.3,Compost
sugarcane,7.58,111.4,17.5,25.1,36.0,MOP
sugarcane,5.21,126.6,66.8,66.8,69.2,Compost
sugarcane,5.43,175.4,60.7,56.9,41.3,Compost
cotton,6.27,110.3,55.1,60.2,90.4,NPK
rice,5.7,94.9,50.9,30.5,53.1,NPK
sugarcane,6.47,27.2,43.0,33.8,17.8,Compost
rice,7.91,28.8,89.2,40.8,21.6,Compost
sugarcane,7.57,10.0,51.3,86.3,69.7,Urea
wheat,5.07,94.7,46.3,57.7,57.7,Compost
maize,6.0,144.1,40.0,8.0,62.4,MOP
sugarcane,6.04,49.2,11.7,8.0,54.0,NPK
rice,6.2,171.5,15.5,65.9,55.1,DAP
wheat,5.93,97.2,17.2,59.5,93.0,DAP
sugarcane,5.72,78.7,54.2,42.3,71.7,NPK
sugarcane,5.99,68.6,31.5,8.0,64.7,MOP
rice,6.32,77.7,41.0,54.7,77.4,NPK
sugarcane,5.66,27.9,54.4,44.6,40.3,Urea
sugarcane,5.36,51.5,38.9,42.1,59.0,Compost
wheat,6.83,22.4,17.9,28.9,15.0,Compost
maize,6.13,58.5,35.4,61.2,48.2,NPK
cotton,5.92,30.5,52.0,57.8,37.9,Urea
cotton,5.62,69.9,71.6,64.0,53.8,NPK
wheat,6.2,83.1,61.2,32.0,69.4,NPK
rice,6.67,65.7,65.3,47.6,60.7,NPK
rice,6.44,99.8,36.8,71.5,78.6,NPK
maize,7.4,92.8,80.7,105.0,73.2,NPK
rice,6.92,123.7,67.1,18.0,33.7,MOP
sugarcane,7.22,119.1,63.8,75.5,77.0,NPK
cotton,6.1,55.4,23.6,62.4,55.6,DAP
sugarcane,5.86,186.1,61.1,64.7,15.0,Compost
cotton,6.74,10.0,42.5,38.1,59.7,Urea
rice,6.04,65.7,68.4,64.4,77.7,NPK
cotton,6.64,86.9,44.9,83.1,41.8,NPK
sugarcane,6.36,105.8,47.4,39.1,33.8,NPK
wheat,7.11,59.0,10.3,63.7,65.7,DAP
wheat,5.95,60.8,36.0,63.6,74.2,NPK
sugarcane,7.04,153.7,71.5,61.0,41.2,NPK
rice,6.86,46.8,5.0,38.2,44.9,DAP
maize,5.34,125.4,33.4,21.4,64.4,Compost
sugarcane,7.02,108.5,70.0,45.1,70.0,NPK
maize,7.66,152.5,49.9,63.9,53.6,NPK
cotton,6.51,96.4,77.9,50.5,36.9,NPK
maize,5.82,76.2,20.5,87.2,53.1,DAP
wheat,6.16,151.2,56.1,58.7,71.4,NPK
cotton,6.28,45.3,74.9,61.0,61.3,Urea
sugarcane,6.43,103.9,5.0,45.3,62.1,DAP
cotton,5.2,141.4,41.7,22.8,72.0,Compost
wheat,5.53,90.9,52.6,51.4,45.7,Compost
rice,5.37,10.0,37.4,93.5,68.5,Compost
cotton,6.37,127.6,44.2,17.5,31.7,MOP
rice,7.02,144.6,38.8,21.2,67.0,MOP
wheat,5.98,155.7,60.3,70.6,54.9,NPK
cotton,7.16,131.0,31.2,29.8,74.7,MOP
wheat,4.86,90.7,5.0,59.5,49.9,Urea
sugarcane,7.02,23.8,59.4,57.3,20.0,Compost
sugarcane,6.63,52.3,5.0,80.4,26.6,DAP
cotton,5.62,73.6,38.1,70.8,45.9,NPK
wheat,5.95,194.0,27.8,98.1,37.2,NPK
maize,8.61,69.0,26.8,42.8,63.3,Compost
cotton,6.2,70.9,59.8,30.0,48.1,NPK
rice,6.22,137.1,44.2,48.7,51.3,NPK
cotton,7.38,116.5,68.9,21.3,61.5,MOP
cotton,6.2,90.9,63.9,38.9,61.7,NPK
maize,6.29,99.6,30.4,31.7,22.7,Compost
sugarcane,7.49,163.1,75.0,60.1,42.4,NPK
sugarcane,5.73,45.8,9.8,63.1,33.6,DAP
maize,5.94,144.9,28.8,62.1,69.0,NPK
maize,5.93,10.0,22.3,28.4,39.3,NPK
cotton,6.39,147.8,61.7,110.0,56.6,NPK
cotton,6.37,63.3,67.6,41.9,40.8,NPK
sugarcane,5.89,48.3,25.0,64.5,48.7,DAP
wheat,6.11,137.1,15.8,41.5,70.1,DAP
maize,6.16,102.5,16.3,52.9,43.5,DAP
cotton,7.81,72.2,35.1,28.6,37.7,MOP
sugarcane,6.08,143.8,68.1,33.1,77.9,NPK
sugarcane,6.56,62.4,29.6,64.4,19.1,Compost
cotton,6.31,39.1,67.5,79.3,60.4,Urea
sugarcane,5.72,60.9,35.5,33.1,38.5,NPK
wheat,8.82,111.8,50.1,43.1,64.6,Compost
maize,8.29,85.0,58.3,51.1,81.3,Compost
wheat,5.79,138.7,84.4,10.5,47.1,MOP
wheat,6.6,120.9,14.9,76.3,56.5,DAP
sugarcane,5.91,115.3,33.6,43.4,36.4,NPK
cotton,6.64,80.1,29.5,8.7,49.3,MOP
rice,7.33,73.8,10.4,62.0,48.6,DAP
wheat,6.17,82.1,68.1,61.4,80.0,NPK
cotton,6.05,145.1,20.1,27.1,79.9,MOP
maize,7.44,118.8,72.5,52.4,34.5,NPK
maize,6.31,45.2,61.6,27.0,66.2,NPK
maize,6.18,147.8,5.0,39.3,67.5,DAP
cotton,5.79,10.0,70.4,45.4,47.5,Urea
wheat,5.06,68.7,61.5,80.0,57.0,Compost
sugarcane,7.66,169.6,62.0,48.4,52.2,NPK
maize,7.77,148.9,58.9,8.0,66.3,MOP
maize,7.33,13.5,5.0,58.1,42.4,DAP
cotton,5.87,56.0,24.6,67.8,29.0,DAP
rice,7.02,132.8,14.0,24.6,72.6,MOP
rice,6.73,89.3,29.2,45.6,73.7,NPK
maize,6.27,68.3,70.8,58.3,87.5,NPK
maize,6.04,56.3,23.1,23.7,26.3,MOP
sugarcane,5.84,109.3,14.4,72.6,85.2,DAP
wheat,5.68,36.0,10.7,33.2,41.4,NPK
rice,6.17,103.6,18.2,39.0,67.3,DAP
wheat,5.34,32.2,27.4,8.0,44.3,Compost
sugarcane,6.81,44.3,31.7,46.6,77.6,Urea
rice,7.22,73.6,63.0,45.8,60.4,NPK
cotton,6.94,124.0,61.4,48.8,31.3,Urea
maize,5.47,139.3,21.9,72.7,81.2,Compost
sugarcane,5.2,91.1,80.1,70.6,28.6,Compost
rice,7.81,85.1,37.2,92.1,66.9,NPK
rice,6.48,76.9,8.1,50.2,73.5,DAP
cotton,6.22,140.3,50.6,76.1,32.1,NPK
cotton,6.3,123.2,32.8,68.4,30.4,NPK
sugarcane,6.16,136.7,25.2,54.0,51.9,NPK
rice,6.49,38.8,33.4,52.8,38.6,Urea
sugarcane,6.09,182.4,26.6,40.4,50.6,NPK
sugarcane,5.33,87.2,58.1,56.4,66.7,Compost
rice,7.23,25.2,37.5,21.6,48.1,NPK
cotton,6.97,40.9,5.5,64.4,64.0,DAP
rice,6.91,52.0,41.4,81.3,67.3,Urea
rice,7.53,10.0,22.9,47.1,53.9,DAP
sugarcane,6.76,42.2,27.5,78.0,48.1,NPK
wheat,7.65,96.0,38.9,79.0,46.7,NPK
sugarcane,6.19,40.3,69.0,25.3,23.5,Compost
wheat,6.87,188.8,13.8,29.5,51.5,MOP
rice,7.13,17.6,37.3,20.1,16.4,Compost
cotton,6.33,10.0,29.1,8.0,68.4,NPK
rice,6.89,145.0,28.5,68.5,48.9,NPK
cotton,5.71,62.3,27.5,57.3,57.6,MOP
cotton,6.53,48.2,10.5,36.4,70.5,DAP
rice,6.62,32.9,43.2,67.6,46.6,MOP
wheat,6.61,127.5,11.7,49.2,71.2,DAP
sugarcane,5.48,65.1,41.5,63.3,63.2,Compost
rice,5.96,53.3,58.0,40.5,42.5,Urea
sugarcane,6.51,141.0,47.9,36.3,58.2,NPK
rice,7.12,94.6,75.7,66.9,63.7,NPK
rice,5.93,63.6,6.8,52.4,38.7,DAP
wheat,7.29,142.1,66.1,63.0,43.0,NPK
wheat,6.46,105.0,37.8,72.3,43.0,NPK
rice,7.55,128.0,46.6,72.9,51.7,NPK
wheat,6.42,10.0,28.3,70.8,83.3,NPK
rice,7.18,18.6,77.8,31.7,57.9,NPK
cotton,7.01,106.5,38.1,31.1,55.2,NPK
wheat,6.21,10.0,16.6,60.1,36.2,DAP
rice,5.5,10.0,54.4,32.9,73.1,Compost
cotton,7.81,144.5,41.0,69.8,42.8,NPK
maize,4.6,87.7,17.3,73.3,40.6,Compost
wheat,6.23,57.7,48.6,80.7,53.0,NPK
wheat,6.86,59.3,77.2,8.0,35.8,MOP
rice,7.25,79.0,55.7,68.5,37.9,NPK
sugarcane,6.32,62.1,54.6,59.1,38.4,NPK
cotton,5.35,136.5,84.5,28.3,35.2,Compost
sugarcane,6.34,81.2,5.0,65.0,58.1,DAP
sugarcane,5.56,79.0,5.0,49.6,63.7,Compost
cotton,6.47,125.1,54.9,67.7,63.2,NPK
sugarcane,5.78,99.1,29.9,17.4,37.9,MOP
maize,6.73,123.6,43.0,76.7,46.7,NPK
rice,7.7,106.1,60.2,50.6,42.8,NPK
cotton,5.89,136.0,56.6,34.8,48.2,NPK
maize,5.84,69.4,50.8,65.5,49.7,NPK
maize,6.56,31.2,33.0,69.8,40.1,Urea
wheat,7.02,191.4,52.5,13.7,48.5,MOP
rice,6.02,90.2,6.7,56.1,71.6,DAP
wheat,4.6,59.4,65.5,66.7,68.8,Compost
wheat,5.56,102.3,55.2,51.6,45.8,Compost
sugarcane,6.72,117.7,67.9,73.6,29.8,NPK
sugarcane,7.34,155.5,54.2,42.4,54.8,NPK
rice,7.85,82.9,13.9,50.8,52.6,DAP
rice,6.28,55.4,47.9,18.3,19.7,Compost
wheat,6.3,62.5,67.8,59.7,73.3,NPK
sugarcane,5.93,97.6,51.7,47.2,69.2,NPK
cotton,5.87,165.6,5.0,19.2,36.0,MOP
sugarcane,6.72,48.0,19.6,56.8,57.8,DAP
rice,6.66,111.7,5.0,80.9,29.8,DAP
cotton,8.05,142.5,45.1,86.1,45.9,Compost
maize,6.46,118.2,69.6,9.8,43.3,MOP
wheat,5.96,64.6,51.5,52.7,63.1,NPK
wheat,4.94,135.3,26.1,68.9,61.1,Compost
rice,7.92,61.4,56.1,31.5,43.3,MOP
rice,6.49,29.8,36.4,58.2,31.7,Urea
cotton,6.65,96.7,31.3,57.3,54.8,NPK
maize,6.93,116.6,8.6,34.3,15.0,Compost
cotton,7.2,103.6,40.8,101.1,61.0,NPK
cotton,7.34,18.5,16.1,54.5,48.5,DAP
cotton,7.67,50.7,57.0,88.1,58.3,Urea
maize,7.45,103.3,26.6,16.4,33.5,MOP
maize,6.16,178.1,39.5,55.3,31.2,NPK
rice,6.33,64.1,43.6,17.5,64.7,MOP
sugarcane,7.53,65.9,34.3,38.2,56.1,NPK
maize,6.15,10.0,43.7,36.8,40.7,Urea
rice,6.51,80.5,57.6,39.4,80.4,NPK
rice,7.06,66.2,100.0,22.1,46.1,MOP
