crop_type,temperature_c,humidity_pct,rainfall_mm,leaf_wetness_hours,prior_disease_history,risk_level
cotton,25.5,49.9,41.7,5.0,0,low
sugarcane,27.4,70.1,40.3,2.7,0,low
wheat,21.1,61.4,316.0,4.9,1,medium
cotton,19.0,88.4,144.1,8.4,0,medium
cotton,25.0,63.5,107.5,4.2,0,low
maize,23.5,75.0,285.3,4.9,1,high
cotton,30.9,76.5,284.3,9.0,0,medium
wheat,20.4,72.4,30.2,4.5,0,low
sugarcane,27.6,96.6,84.0,10.5,1,high
wheat,27.6,77.9,184.3,4.7,1,high
rice,24.1,66.9,166.1,5.6,0,medium
sugarcane,36.3,82.3,55.8,9.5,0,medium
rice,27.5,75.3,296.8,11.5,0,high
rice,26.5,93.7,75.6,13.6,0,medium
cotton,20.7,71.3,55.3,8.5,0,low
wheat,27.6,39.9,210.8,2.4,0,low
maize,32.3,92.0,26.3,9.6,0,medium
maize,27.8,78.3,21.5,4.8,0,medium
sugarcane,29.4,72.3,155.8,8.3,1,medium
maize,22.6,88.6,173.3,12.4,0,medium
sugarcane,37.2,35.0,58.5,5.0,1,low
sugarcane,21.5,75.4,90.9,11.3,0,medium
rice,34.2,57.9,426.9,10.8,0,medium
wheat,23.2,71.8,45.1,2.3,0,low
maize,30.0,63.2,115.1,5.6,1,medium
wheat,22.7,59.9,255.9,4.2,0,low
maize,29.1,99.0,332.0,7.8,0,medium
wheat,27.7,84.2,74.1,6.4,1,medium
cotton,24.8,73.9,161.4,7.4,1,medium
wheat,27.5,86.5,110.4,8.3,0,medium
wheat,29.2,52.1,201.0,2.6,0,low
sugarcane,23.8,51.0,67.2,2.7,0,low
sugarcane,37.8,67.9,59.7,7.1,1,medium
cotton,32.3,99.0,181.5,10.1,0,medium
sugarcane,19.7,60.6,236.3,6.4,0,low
sugarcane,28.8,73.4,95.3,6.5,0,low
wheat,16.2,85.4,58.2,8.7,1,medium
sugarcane,25.6,69.5,288.0,6.3,0,medium
cotton,31.9,66.4,66.0,7.9,0,low
sugarcane,17.5,89.3,35.9,10.2,0,medium
sugarcane,22.0,66.4,203.2,5.9,0,low
sugarcane,28.6,93.8,38.1,13.7,0,medium
sugarcane,32.1,67.3,75.1,11.1,1,medium
sugarcane,21.1,50.7,56.3,2.5,1,low
rice,22.5,58.5,24.3,6.8,0,low
wheat,34.3,60.5,120.1,10.0,1,medium
wheat,34.2,74.5,78.8,10.1,0,medium
maize,18.3,69.1,66.2,12.3,0,medium
sugarcane,27.9,72.1,243.9,9.0,0,medium
rice,27.4,77.0,232.2,13.7,1,high
maize,32.4,84.0,348.5,9.8,0,medium
wheat,32.5,70.4,243.1,7.4,0,medium
rice,31.3,63.4,253.1,5.0,0,medium
sugarcane,30.3,71.3,25.2,9.6,0,low
rice,17.6,82.8,66.8,9.6,0,low
cotton,34.9,70.1,98.6,3.3,1,medium
rice,22.3,99.0,207.9,10.9,1,high
rice,26.8,48.8,45.0,4.8,1,medium
maize,20.2,75.6,60.8,12.2,1,medium
cotton,20.9,71.9,54.3,5.4,1,medium
maize,31.4,83.8,192.8,11.6,0,medium
rice,31.9,63.3,127.1,4.7,1,medium
cotton,36.1,62.8,52.5,9.9,1,medium
maize,27.8,77.1,70.6,7.0,0,medium
maize,19.9,65.5,179.3,4.0,1,medium
rice,24.4,62.4,449.5,8.4,0,medium
rice,15.7,66.9,415.6,5.3,0,low
maize,28.2,71.6,189.2,13.4,0,medium
cotton,33.0,89.3,92.5,9.1,1,high
cotton,23.7,99.0,21.8,13.1,1,high
sugarcane,27.8,68.5,40.0,8.7,0,medium
rice,32.2,87.2,273.4,9.2,1,high
maize,31.2,72.6,67.5,4.0,1,medium
rice,27.6,77.8,96.5,8.3,0,medium
sugarcane,24.3,72.1,105.1,8.0,0,low
maize,25.9,62.2,39.8,5.3,0,low
cotton,31.0,69.3,90.6,5.2,0,medium
maize,25.0,99.0,92.2,11.2,1,high
rice,22.1,82.3,195.3,13.8,1,high
wheat,25.4,69.7,48.0,7.5,0,medium
rice,37.3,63.3,311.4,8.3,1,medium
wheat,35.4,57.1,600.0,8.2,0,medium
maize,39.6,68.5,30.4,6.7,1,low
rice,42.0,60.4,46.7,5.1,0,low
rice,21.7,42.4,71.5,6.0,1,low
cotton,32.7,84.7,236.9,12.3,1,high
rice,24.6,58.7,44.5,3.8,1,medium
wheat,35.9,71.5,186.8,7.5,0,low
cotton,27.6,68.1,28.5,4.9,1,medium
rice,38.0,77.4,100.4,8.3,0,low
rice,29.6,93.2,54.3,8.9,1,high
sugarcane,23.8,73.9,82.2,6.7,0,medium
maize,26.1,62.4,130.0,5.4,0,medium
wheat,28.9,58.4,280.4,4.9,0,low
wheat,32.5,99.0,357.8,8.9,1,high
rice,29.0,35.0,134.2,4.4,0,low
maize,20.6,82.2,226.0,11.6,0,medium
wheat,34.0,71.1,177.2,5.8,0,low
sugarcane,28.7,70.6,60.0,10.1,1,medium
maize,30.3,83.9,280.1,5.3,1,high
cotton,27.4,50.8,82.1,5.4,1,medium
sugarcane,19.8,57.2,151.4,7.6,0,low
sugarcane,22.0,46.5,245.4,7.7,0,low
rice,15.7,80.8,270.5,13.3,0,medium
wheat,26.1,55.2,76.1,9.2,0,low
wheat,24.9,47.1,38.9,3.1,1,low
sugarcane,23.3,67.4,26.2,6.5,1,medium
rice,31.7,62.2,183.6,6.8,0,low
sugarcane,23.1,92.9,61.3,9.9,0,medium
rice,30.2,70.3,89.4,7.2,0,medium
sugarcane,25.7,62.8,81.6,3.3,0,low
wheat,27.2,69.2,21.6,7.2,0,low
maize,28.9,70.6,140.5,11.4,0,medium
maize,33.8,72.9,64.8,4.1,0,low
wheat,36.5,70.7,20.5,8.4,0,low
sugarcane,24.0,63.9,97.6,7.1,1,medium
rice,27.9,46.6,72.8,4.5,0,low
maize,25.3,99.0,79.1,7.8,1,high
rice,18.0,82.0,159.4,6.2,1,medium
rice,16.5,57.0,33.2,10.6,1,low
sugarcane,26.1,58.6,49.2,11.5,0,medium
wheat,21.0,82.3,201.2,11.7,1,medium
cotton,30.3,74.8,357.0,8.0,1,high
cotton,23.3,48.5,32.0,5.5,1,low
maize,30.9,88.1,70.6,8.7,0,medium
sugarcane,25.2,53.5,99.9,4.0,0,low
cotton,20.8,77.7,350.1,4.3,1,medium
wheat,25.8,94.9,176.6,8.6,0,medium
rice,29.1,99.0,39.5,9.5,0,medium
rice,32.0,89.3,67.9,15.1,0,medium
cotton,19.2,52.6,27.6,11.5,1,low
rice,27.5,58.5,264.0,8.6,1,medium
rice,28.2,77.5,193.7,8.6,1,high
maize,24.2,70.7,86.2,7.3,0,low
sugarcane,29.1,55.0,58.8,12.9,0,low
sugarcane,34.4,71.4,38.1,10.1,1,medium
wheat,29.7,85.7,499.1,10.5,1,high
wheat,26.0,88.9,46.7,9.3,1,medium
wheat,28.0,59.9,142.9,9.1,1,medium
sugarcane,24.5,88.5,263.6,4.9,0,medium
sugarcane,28.7,84.0,113.7,8.4,0,medium
wheat,25.5,85.0,140.8,5.8,0,medium
rice,28.5,58.4,268.6,3.1,0,low
sugarcane,29.2,72.1,35.8,6.8,1,medium
rice,27.5,46.1,128.7,9.2,1,medium
cotton,28.7,68.3,117.8,4.2,0,low
wheat,26.5,67.7,34.3,0.8,0,low
cotton,26.7,60.0,223.7,7.1,1,medium
sugarcane,32.1,99.0,230.7,15.5,1,high
maize,32.3,86.0,84.7,13.0,0,medium
cotton,29.3,82.3,113.3,10.1,0,medium
cotton,28.8,79.6,62.0,8.0,0,medium
wheat,16.1,85.1,93.9,8.1,0,medium
wheat,42.0,68.7,63.4,2.3,0,low
wheat,18.9,55.1,58.5,6.9,1,medium
sugarcane,20.9,67.3,288.2,5.9,0,medium
sugarcane,24.3,74.2,96.4,6.3,0,low
rice,21.5,89.6,154.9,14.8,0,medium
rice,28.2,59.0,46.7,11.4,0,low
maize,18.7,59.4,39.1,14.1,1,medium
rice,27.5,93.9,444.5,13.6,0,high
maize,33.0,75.6,211.5,7.8,1,medium
wheat,21.2,80.1,170.2,7.7,0,medium
wheat,16.8,72.3,594.8,6.5,0,medium
rice,22.8,60.2,24.4,8.6,0,low
rice,19.1,75.7,523.6,8.7,1,high
rice,18.6,99.0,68.7,8.9,0,medium
cotton,14.2,73.0,29.2,7.2,0,low
maize,12.0,58.1,26.8,6.9,1,low
maize,21.9,78.6,79.2,8.0,0,medium
sugarcane,33.6,70.3,117.5,4.7,0,medium
cotton,28.9,78.8,37.8,9.5,0,medium
maize,22.8,81.5,481.5,12.7,1,high
cotton,36.1,70.1,49.4,12.3,0,low
rice,14.6,88.0,84.3,9.2,0,medium
sugarcane,34.5,72.3,69.9,8.6,0,low
rice,31.3,48.9,30.7,11.6,0,low
maize,24.1,48.0,52.8,10.1,0,low
cotton,24.0,76.0,111.7,7.0,0,medium
cotton,23.8,47.8,72.7,1.0,1,low
sugarcane,26.5,95.9,88.1,9.0,0,medium
maize,26.4,44.8,165.0,5.2,1,medium
cotton,38.2,73.7,63.2,3.9,1,low
wheat,26.9,71.4,77.8,6.5,0,medium
rice,27.3,81.1,57.1,11.2,1,high
wheat,13.6,88.7,118.3,10.4,1,medium
cotton,24.5,37.5,576.3,4.5,0,low
maize,33.7,65.3,104.1,6.0,0,low
wheat,24.5,61.6,112.8,4.7,0,low
cotton,35.3,74.3,67.2,9.9,0,low
sugarcane,23.1,83.1,176.1,9.0,0,medium
maize,23.5,78.5,73.7,3.8,0,low
rice,26.0,69.9,32.4,6.1,0,low
cotton,16.7,79.4,87.4,10.1,0,medium
maize,19.1,41.5,252.9,7.2,0,low
maize,30.2,92.0,100.0,9.1,0,medium
sugarcane,32.4,78.1,60.0,6.2,1,medium
cotton,18.8,55.6,181.2,4.3,0,low
wheat,26.3,70.5,545.8,4.8,1,medium
cotton,37.3,78.8,52.6,8.9,0,low
wheat,24.3,57.5,34.9,4.9,0,low
maize,36.4,65.7,252.0,2.2,1,medium
sugarcane,18.3,61.3,166.3,4.1,1,low
maize,29.5,65.2,218.7,12.5,1,medium
cotton,28.5,70.3,57.3,12.5,0,medium
maize,26.6,60.5,362.3,14.0,0,medium
sugarcane,31.7,71.0,44.0,9.6,0,low
sugarcane,26.4,88.2,115.5,14.1,0,medium
sugarcane,24.9,91.0,214.2,12.3,0,high
rice,28.5,71.8,20.3,4.8,0,low
wheat,25.8,92.3,84.1,13.6,0,high
maize,14.9,82.4,69.4,7.1,0,low
sugarcane,26.5,79.2,42.5,7.2,0,medium
cotton,28.9,73.8,494.4,8.5,1,high
cotton,40.5,60.8,22.2,2.4,0,low
cotton,38.2,81.3,71.0,10.3,0,low
sugarcane,33.2,54.0,137.3,8.9,0,low
rice,27.6,67.8,109.8,9.5,0,medium
rice,26.1,74.6,36.2,10.6,1,medium
wheat,20.6,51.8,57.5,2.7,1,low
maize,14.4,74.2,23.2,1.3,1,low
rice,27.3,89.4,50.9,7.1,1,high
sugarcane,31.2,92.7,71.8,14.3,0,high
cotton,27.4,90.8,240.6,5.4,0,medium
maize,21.8,69.5,223.2,10.0,1,high
sugarcane,30.0,53.4,87.5,5.8,1,medium
sugarcane,22.3,92.2,190.3,10.9,1,high
rice,24.1,80.1,157.5,10.1,1,high
sugarcane,36.1,90.7,28.8,5.2,1,medium
wheat,27.0,97.4,131.6,6.7,0,medium
maize,35.3,88.6,385.4,8.7,0,medium
cotton,28.7,79.7,239.2,8.4,0,medium
rice,24.1,79.8,275.8,10.7,0,medium
sugarcane,23.8,73.0,27.5,6.4,0,low
rice,32.6,65.2,101.3,9.9,1,medium
wheat,24.4,80.5,54.5,11.5,0,medium
sugarcane,19.1,59.7,93.4,8.7,1,medium
maize,21.0,99.0,475.3,15.8,0,high
maize,30.4,83.8,157.9,10.8,1,high
wheat,23.2,58.7,38.1,4.7,0,low
wheat,26.4,70.4,140.0,15.2,1,high
maize,26.5,57.0,27.8,4.4,0,low
wheat,19.2,64.4,112.0,12.7,1,medium
rice,33.8,79.3,53.3,15.7,1,medium
maize,23.2,76.3,149.2,10.5,0,medium
wheat,41.2,43.7,103.0,4.4,1,low
cotton,24.7,62.3,153.0,6.1,1,medium
cotton,28.8,67.0,46.9,8.5,0,low
rice,29.8,57.6,101.6,6.2,1,medium
maize,26.0,72.1,202.2,8.5,0,medium
rice,33.1,54.5,82.6,3.6,0,low
rice,26.4,41.6,599.1,2.8,0,low
rice,27.6,94.7,33.5,8.0,0,high
maize,30.6,99.0,235.6,14.2,1,high
rice,27.8,75.1,270.6,5.5,0,medium
cotton,29.2,63.0,162.8,5.9,1,medium
wheat,25.2,50.4,52.8,7.8,0,low
maize,20.2,85.2,118.6,7.4,1,medium
sugarcane,15.9,70.5,53.1,12.1,1,medium
rice,30.4,93.3,180.7,7.1,0,medium
rice,27.1,85.1,134.4,4.2,1,high
sugarcane,32.9,68.9,69.3,6.3,0,low
rice,34.7,46.2,35.2,7.0,0,low
wheat,25.4,68.8,50.7,7.7,0,low
maize,37.2,87.2,25.7,9.1,0,medium
maize,22.0,69.2,29.8,13.4,0,low
rice,23.3,58.4,79.2,7.7,0,low
cotton,25.5,77.1,115.4,8.5,0,medium
cotton,21.7,86.7,158.0,9.3,0,medium
